index,value
初期時刻,0 ~ 0
初期座標 x,8 ~ 8
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,60 ~ 60
終端座標 x,15 ~ 15
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,8 ~ 15
状態境界 y,0 ~ 2.5
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,791
soln.info.funcCount,579502
soln.info.constrviolation,2.6177e-15
soln.info.stepsize,2.8138e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,9.1581
soln.info.cgiterations,860
soln.info.bestfeasible.fval,43885.1076
soln.info.nlpTime,202.2359
soln.info.exitFlag,2
