index,value
初期時刻,0 ~ 0
初期座標 x,8 ~ 8
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,8 ~ 15
状態境界 y,0 ~ 2.5
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,0.05 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,974
soln.info.funcCount,714087
soln.info.constrviolation,3.2266e-15
soln.info.stepsize,3.3511e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,286.6637
soln.info.cgiterations,6068
soln.info.bestfeasible.fval,107098.3179
soln.info.nlpTime,186.572
soln.info.exitFlag,2
