index,value
初期時刻,0 ~ 0
初期座標 x,4.3186 ~ 4.3186
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0.15 ~ 0.15
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,8.3186 ~ 8.3186
終端座標 y,1 ~ 1
終端座標 theta,-4.7124 ~ 4.7124
終端座標 vx,0.15 ~ 0.15
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,4.3186 ~ 8.3186
状態境界 y,-2.5 ~ 2.5
状態境界 theta,-4.7124 ~ 4.7124
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,733651
soln.info.constrviolation,4.8208e-11
soln.info.stepsize,0.041456
soln.info.algorithm,interior-point
soln.info.firstorderopt,995.2041
soln.info.cgiterations,6041
soln.info.bestfeasible.fval,47937.476
soln.info.nlpTime,210.2437
soln.info.exitFlag,0
