index,value
初期時刻,0 ~ 0
初期座標 x,2.3832 ~ 2.3832
初期座標 y,1.1102e-16 ~ 1.1102e-16
初期座標 theta,0.1974 ~ 0.1974
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.062941 ~ -0.062941
初期座標 omega,0.012424 ~ 0.012424
終端時刻,90 ~ 90
終端座標 x,7.3832 ~ 7.3832
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.062941 ~ -0.062941
終端座標 omega,0.012424 ~ 0.012424
状態境界 x,2.3832 ~ 7.3832
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,147
soln.info.funcCount,107712
soln.info.constrviolation,8.498e-16
soln.info.stepsize,6.2647e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,0.0018002
soln.info.cgiterations,142
soln.info.bestfeasible.fval,68.0541
soln.info.nlpTime,19.2066
soln.info.exitFlag,2
