index,value
初期時刻,0 ~ 0
初期座標 x,7.2003 ~ 7.2003
初期座標 y,1 ~ 1
初期座標 theta,0.27935 ~ 0.27935
初期座標 vx,0.56 ~ 0.56
初期座標 vy,0 ~ 0
初期座標 omega,0.021726 ~ 0.021726
終端時刻,90 ~ 90
終端座標 x,12.2003 ~ 12.2003
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0.56 ~ 0.56
終端座標 vy,0 ~ 0
終端座標 omega,0.0217259 ~ 0.0217259
状態境界 x,7.2003 ~ 12.2003
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,0 ~ 0.56
状態境界 vy,-0.56 ~ 0.56
状態境界 omega,-1.5708 ~ 1.5708
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,64
soln.info.funcCount,47661
soln.info.constrviolation,6.4407e-13
soln.info.stepsize,0.00012063
soln.info.algorithm,interior-point
soln.info.firstorderopt,1.903e-15
soln.info.cgiterations,235
soln.info.bestfeasible.fval,-28.125
soln.info.nlpTime,8.3002
soln.info.exitFlag,1
