index,value
初期時刻,0 ~ 0
初期座標 x,3.4828 ~ 3.4828
初期座標 y,-2 ~ -2
初期座標 theta,0.87606 ~ 0.87606
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.12921 ~ -0.12921
初期座標 omega,0.03773 ~ 0.03773
終端時刻,90 ~ 90
終端座標 x,5.9828 ~ 5.9828
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.12921 ~ -0.12921
終端座標 omega,0.03773 ~ 0.03773
状態境界 x,3.4828 ~ 5.9828
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,30
soln.info.funcCount,22712
soln.info.constrviolation,3.0489e-14
soln.info.stepsize,8.8349e-06
soln.info.algorithm,interior-point
soln.info.firstorderopt,5.4721e-19
soln.info.cgiterations,22
soln.info.bestfeasible.fval,-20.625
soln.info.nlpTime,3.8059
soln.info.exitFlag,1
